1000,1000,111,11
1000,1000,142,14
1000,1000,200,20
1000,1000,333,33
1000,1000,666,65
1000,1000,800,79
1000,1000,857,84
1000,1000,888,97
1000,2000,111,24
1000,2000,142,32
1000,2000,200,44
1000,2000,333,75
1000,2000,666,146
1000,2000,800,179
1000,2000,857,183
1000,2000,888,192
1000,3000,111,36
1000,3000,142,45
1000,3000,200,63
1000,3000,333,109
1000,3000,666,216
1000,3000,800,263
1000,3000,857,281
1000,3000,888,279
1000,4000,111,42
1000,4000,142,55
1000,4000,200,76
1000,4000,333,127
1000,4000,666,253
1000,4000,800,305
1000,4000,857,328
1000,4000,888,338
1000,5000,111,53
1000,5000,142,68
1000,5000,200,96
1000,5000,333,159
1000,5000,666,317
1000,5000,800,382
1000,5000,857,410
1000,5000,888,424
2000,1000,222,21
2000,1000,285,27
2000,1000,400,38
2000,1000,666,64
2000,1000,1333,128
2000,1000,1600,153
2000,1000,1714,163
2000,1000,1777,170
2000,2000,222,43
2000,2000,285,54
2000,2000,400,77
2000,2000,666,127
2000,2000,1333,255
2000,2000,1600,310
2000,2000,1714,327
2000,2000,1777,339
2000,3000,222,64
2000,3000,285,81
2000,3000,400,115
2000,3000,666,191
2000,3000,1333,383
2000,3000,1600,459
2000,3000,1714,494
2000,3000,1777,509
2000,4000,222,85
2000,4000,285,109
2000,4000,400,153
2000,4000,666,255
2000,4000,1333,509
2000,4000,1600,611
2000,4000,1714,654
2000,4000,1777,680
2000,5000,222,106
2000,5000,285,137
2000,5000,400,191
2000,5000,666,318
2000,5000,1333,636
2000,5000,1600,761
2000,5000,1714,819
2000,5000,1777,849
3000,1000,333,32
3000,1000,428,41
3000,1000,600,57
3000,1000,1000,95
3000,1000,2000,192
3000,1000,2400,229
3000,1000,2571,245
3000,1000,2666,254
3000,2000,333,63
3000,2000,428,82
3000,2000,600,114
3000,2000,1000,191
3000,2000,2000,381
3000,2000,2400,459
3000,2000,2571,530
3000,2000,2666,522
3000,3000,333,95
3000,3000,428,124
3000,3000,600,171
3000,3000,1000,287
3000,3000,2000,578
3000,3000,2400,686
3000,3000,2571,736
3000,3000,2666,763
3000,4000,333,127
3000,4000,428,164
3000,4000,600,229
3000,4000,1000,382
3000,4000,2000,765
3000,4000,2400,917
3000,4000,2571,982
3000,4000,2666,1016
3000,5000,333,159
3000,5000,428,204
3000,5000,600,286
3000,5000,1000,481
3000,5000,2000,960
3000,5000,2400,1153
3000,5000,2571,1230
3000,5000,2666,1269
4000,1000,444,42
4000,1000,571,55
4000,1000,800,76
4000,1000,1333,128
4000,1000,2666,256
4000,1000,3200,305
4000,1000,3428,328
4000,1000,3555,340
4000,2000,444,85
4000,2000,571,108
4000,2000,800,153
4000,2000,1333,255
4000,2000,2666,511
4000,2000,3200,609
4000,2000,3428,654
4000,2000,3555,678
4000,3000,444,127
4000,3000,571,163
4000,3000,800,230
4000,3000,1333,381
4000,3000,2666,784
4000,3000,3200,920
4000,3000,3428,981
4000,3000,3555,1058
